127.0.0.1 - - [15/Mar/2022:13:43:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Mar/2022:13:43:41 +0900] "GET /JspProject/css1/ex6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:13:43:41 +0900] "GET /JspProject/css1/img/mic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:13:43:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:34:52 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:34:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:36:36 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:37:10 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:38:17 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:38:24 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:38:37 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:38:43 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:40:27 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:41:50 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:41:51 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:42:16 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:43:43 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:43:45 +0900] "GET /JspProject/css1/img/ex1.html HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:43:48 +0900] "GET /JspProject/css1/img/ex4.html HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:44:23 +0900] "GET /JspProject/css1/img/ex1.html HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:44:26 +0900] "GET /JspProject/css1/img/test12.html HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:44:41 +0900] "GET /JspProject/css1/test12.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:44:43 +0900] "GET /JspProject/css1/ex1.html HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:44:56 +0900] "GET /JspProject/css1/test12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:45:55 +0900] "GET /JspProject/css1/test12.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:46:07 +0900] "GET /JspProject/css1/test12.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:47:47 +0900] "GET /JspProject/css1/test12.html HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:47:57 +0900] "GET /JspProject/css1/test12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:48:58 +0900] "GET /JspProject/css1/test12.html HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:50:36 +0900] "GET /JspProject/css1/test12.html HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:01:17 +0900] "GET /JspProject/css1/test12.html HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:01:19 +0900] "GET /JspProject/css1/ex4.html HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:09:21 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:10:04 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:26:36 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:26:51 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:26:55 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:26:56 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:28:31 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:28:32 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:28:32 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:28:33 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:28:42 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:28:43 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:40:17 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:40:50 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:41:23 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:45:36 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:45:37 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:45:37 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:32 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 2848
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:32 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:33 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:33 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:33 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:33 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:34 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:34 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:34 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:35 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:47 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:48 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:48 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:48 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:48 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:48 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:48 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:49 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:49 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:49 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:50 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:55 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:56 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:56 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:56 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:57 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:49:57 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:50:35 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 2848
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:50:36 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:50:36 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:50:37 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:50:37 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:51:24 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:51:24 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:51:25 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:51:25 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:51:42 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 200 2857
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:51:42 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:51:43 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:51:43 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:51:44 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:15:51:44 +0900] "GET /JspProject/css1/test13.html HTTP/1.1" 304 -
